,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
92,"frozenset({'270m', '260o'})",frozenset({'1.5i'}),0.030303030303030304,0.24242424242424243,0.030303030303030304,1.0,4.125,0.02295684113865932,inf
93,"frozenset({'270m', '1.5i'})",frozenset({'260o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
94,"frozenset({'260o', '1.5i'})",frozenset({'270m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
95,frozenset({'270m'}),"frozenset({'260o', '1.5i'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
96,frozenset({'260o'}),"frozenset({'270m', '1.5i'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
97,"frozenset({'1.6i', '130m'})",frozenset({'80o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
98,"frozenset({'80o', '130m'})",frozenset({'1.6i'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
99,"frozenset({'1.6i', '80o'})",frozenset({'130m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
100,frozenset({'80o'}),"frozenset({'1.6i', '130m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
101,"frozenset({'150o', '1.6i'})",frozenset({'160m'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
102,"frozenset({'150o', '160m'})",frozenset({'1.6i'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
103,"frozenset({'1.6i', '160m'})",frozenset({'150o'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
104,"frozenset({'1.6i', '220o'})",frozenset({'230m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
105,"frozenset({'1.6i', '230m'})",frozenset({'220o'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
106,"frozenset({'1.7i', '190m'})",frozenset({'160o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
107,"frozenset({'1.7i', '160o'})",frozenset({'190m'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
108,"frozenset({'190m', '160o'})",frozenset({'1.7i'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
109,frozenset({'160o'}),"frozenset({'1.7i', '190m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
110,"frozenset({'1.7i', '180m'})",frozenset({'180o'}),0.030303030303030304,0.09090909090909091,0.030303030303030304,1.0,11.0,0.027548209366391185,inf
111,"frozenset({'1.7i', '180o'})",frozenset({'180m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
112,"frozenset({'180m', '180o'})",frozenset({'1.7i'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
